[DEBUG] [2016-01-29 17:27:25][cn.com.threaqueue.thread.ProducerRunnable]任务数据cn.com.threaqueue.taskdata.TaskData@121f1d
[DEBUG] [2016-01-29 17:27:41][cn.com.threaqueue.thread.ProducerRunnable]任务数据TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:28:39][cn.com.threaqueue.thread.ProducerRunnable]任务数据,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:29:22][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:30:37][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:30:37][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:42][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:42][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:44][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:44][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:46][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:46][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:48][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:48][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:48][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:48][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:50][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:50][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:50][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:50][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:50][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:50][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:50][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:50][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:50][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:50][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:52][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:52][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:52][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:52][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:54][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:54][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:56][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:56][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:56][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:56][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:58][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:58][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:58][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:58][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:58][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:58][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:59][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:32:59][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:33:01][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:33:01][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:33:03][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:33:03][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='fadsas', data='fafas'}
[DEBUG] [2016-01-29 17:33:25][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-205539694', data='-1495851232'}
[DEBUG] [2016-01-29 17:33:25][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='416203778', data='659380407'}
[DEBUG] [2016-01-29 17:33:25][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-205539694', data='-1495851232'}
[DEBUG] [2016-01-29 17:33:25][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='416203778', data='659380407'}
[DEBUG] [2016-01-29 17:33:26][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-404510034', data='-1539473316'}
[DEBUG] [2016-01-29 17:33:26][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-404510034', data='-1539473316'}
[DEBUG] [2016-01-29 17:33:28][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-1064469819', data='1680206241'}
[DEBUG] [2016-01-29 17:33:28][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1064469819', data='1680206241'}
[DEBUG] [2016-01-29 17:33:30][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-496363874', data='-1318526301'}
[DEBUG] [2016-01-29 17:33:30][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-496363874', data='-1318526301'}
[DEBUG] [2016-01-29 17:33:31][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-288706817', data='1654705850'}
[DEBUG] [2016-01-29 17:33:31][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-288706817', data='1654705850'}
[DEBUG] [2016-01-29 17:33:33][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='1254074303', data='-817970379'}
[DEBUG] [2016-01-29 17:33:33][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1254074303', data='-817970379'}
[DEBUG] [2016-01-29 17:33:35][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='338490837', data='818888971'}
[DEBUG] [2016-01-29 17:33:35][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-721029369', data='-1704432233'}
[DEBUG] [2016-01-29 17:33:35][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='338490837', data='818888971'}
[DEBUG] [2016-01-29 17:33:35][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-721029369', data='-1704432233'}
[DEBUG] [2016-01-29 17:33:36][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='784693856', data='1580201340'}
[DEBUG] [2016-01-29 17:33:36][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='784693856', data='1580201340'}
[DEBUG] [2016-01-29 17:33:38][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='297742187', data='-1330884583'}
[DEBUG] [2016-01-29 17:33:38][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='297742187', data='-1330884583'}
[DEBUG] [2016-01-29 17:33:40][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-186436853', data='666013468'}
[DEBUG] [2016-01-29 17:33:40][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-186436853', data='666013468'}
[DEBUG] [2016-01-29 17:34:43][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='719358047', data='-842906378'}
[DEBUG] [2016-01-29 17:34:45][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='1550889585', data='1632887073'}
[DEBUG] [2016-01-29 17:34:45][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1550889585', data='1632887073'}
[DEBUG] [2016-01-29 17:34:46][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-1714953272', data='1032416030'}
[DEBUG] [2016-01-29 17:34:46][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-93557942', data='-516012234'}
[DEBUG] [2016-01-29 17:34:46][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-1714953272', data='1032416030'}
[DEBUG] [2016-01-29 17:34:46][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-93557942', data='-516012234'}
[DEBUG] [2016-01-29 17:34:48][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='1375520980', data='1048530387'}
[DEBUG] [2016-01-29 17:34:48][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1375520980', data='1048530387'}
[DEBUG] [2016-01-29 17:34:50][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-166770828', data='1761868139'}
[DEBUG] [2016-01-29 17:34:50][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-166770828', data='1761868139'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='-811514899', data='565409469'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='1220988181', data='-132897225'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='-811514899', data='565409469'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ProducerRunnable]task data,TaskData{name='678367994', data='-1114546556'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='1220988181', data='-132897225'}
[DEBUG] [2016-01-29 17:34:52][cn.com.threaqueue.thread.ConsumerRunnable]task data,TaskData{name='678367994', data='-1114546556'}
